ID,Category,Language,Genre,Pubdate,Author_Last,Author_First,Work_Title,token_count,total_characters,avg_sentence_length,avg_word_length,speed_avg,circuitousness,volume,goodreads_avg,goodreads_URL
"2012_Suarez,Daniel_KillDecision_SF.txt",FIC,English,Science Fiction,2012,Suarez,Daniel,KillDecision,152759,46,12.4234710475,4.4607824382,-2.1719,0.19497,-2.8919,3.97,https://www.goodreads.com/search?q=Daniel+Suarez+Kill+Decision
"2012_Swan,Susan_TheWesternLight_CT.txt",FIC,English,Unkown,2012,Swan,Susan,TheWesternLight,97917,66,15.2780464971,4.1269188563,-2.264,0.17716,-2.8997,3.5,https://www.goodreads.com/search?q=Susan+Swan+The+Western+Light
"2012_Swank,DeniseGrover_TwentyNineandaHalfReasons_MY.txt",FIC,English,Mystery,2012,Swank,DeniseGrover,TwentyNineandaHalfReasons,120672,46,11.5299063635,3.9320190694,-2.3427,0.19783,-3.0338,4.19,https://www.goodreads.com/search?q=+Twenty+Nineanda+Half+Reasons
"2012_Talbot,David_SeasonoftheWitch_HIST.txt",NON,English,Historical,2012,Talbot,David,SeasonoftheWitch,176517,205,21.9085267469,4.6139096757,-2.2722,0.10827,-2.9296,4.28,https://www.goodreads.com/search?q=+Seasonofthe+Witch
"2012_Thayil,Jeet_Narcopolis_PW.txt",FIC,English,Unkown,2012,Thayil,Jeet,Narcopolis,98501,41,19.0046305229,4.1245646839,-2.2949,0.15672,-2.9313,3.42,https://www.goodreads.com/search?q=Jeet+Thayil+Narcopolis
"2012_Thuy,Kim_Ru_PW.txt",FIC,English,Unkown,2012,Thuy,Kim,Ru,27668,8,24.1010452962,4.3112132802,-2.3299,0.088175,-2.7939,3.8,https://www.goodreads.com/search?q=Kim+Thuy+Ru
"2012_Tough,Paul_HowChildrenSucceed_NF.txt",NON,English,Mixed Genre,2012,Tough,Paul,HowChildrenSucceed,90192,69,28.1498127341,4.6584897014,-2.19,0.11729,-2.7668,3.89,https://www.goodreads.com/search?q=Paul+Tough+How+Children+Succeed
"2012_TwanEng,Tan_TheGardenofEveningMists_PW.txt",FIC,English,Unkown,2012,TwanEng,Tan,TheGardenofEveningMists,152973,59,14.8618478578,4.1529033523,-2.2213,0.26758,-3.0546,4.12,https://www.goodreads.com/search?q=+The+Gardenof+Evening+Mists
"2012_Unger,Lisa_Heartbroken_MY.txt",FIC,English,Mystery,2012,Unger,Lisa,Heartbroken,142372,41,13.152147806,4.1023344924,-2.3343,0.19153,-3.0832,3.58,https://www.goodreads.com/search?q=Lisa+Unger+Heartbroken
"2012_Valente,Catherynne_TheGirlWhoFellBeneathFairyland_MG.txt",FIC,English,Middle Grade,2012,Valente,Catherynne,TheGirlWhoFellBeneathFairyland,93346,42,16.5243405913,4.1990873946,-2.1978,0.2743,-2.9218,4.18,https://www.goodreads.com/search?q=Catherynne+Valente+The+Girl+Who+Fell+Beneath+Fairyland
"2012_Varley,John_SlowApocalypse_SF.txt",FIC,English,Science Fiction,2012,Varley,John,SlowApocalypse,215070,66,15.1468413269,4.1104031402,-2.2276,0.25546,-3.1241,3.49,https://www.goodreads.com/search?q=John+Varley+Slow+Apocalypse
"2012_Walker,KarenThompson_TheAgeofMiracles_SF.txt",FIC,English,Science Fiction,2012,Walker,KarenThompson,TheAgeofMiracles,89241,24,14.4730781706,4.1993132179,-2.3366,0.23435,-2.9929,3.66,https://www.goodreads.com/search?q=+The+Ageof+Miracles
"2012_Walling,MichaelG_ForgottenSacrifice_HIST.txt",NON,English,Historical,2012,Walling,MichaelG,ForgottenSacrifice,122838,96,22.5929740666,4.6341156437,-2.2165,0.18875,-2.927,4.04,https://www.goodreads.com/search?q=+Forgotten+Sacrifice
"2012_Walter,Jess_BeautifulRuins_BS.txt",FIC,English,Unkown,2012,Jess,Walter,BeautifulRuins,145337,75,16.3263311615,4.2211246772,-2.2486,0.13942,-2.9266,3.68,https://www.goodreads.com/search?q=Walter+Jess+Beautiful+Ruins
